filename	gen_size	gen_count	morph_filename	nw_func	nw_kwargs	connectedness	discrete	whole_lex	h_space_incr	lexeme_count	zipf_max	prod_size	rand_tf	lexeme_dist_shape	prior_weight
test_2017-12-18T23-04-08___50_10_7_50000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	proportion_of_lex
test_2017-12-18T23-50-12___50_10_7_60000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	proportion_of_lex
test_2017-12-18T23-54-25___50_10_7_50000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	proportion_of_lex
test_2017-12-19T00-09-58___50_10_7_30000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	proportion_of_lex
test_2017-12-19T00-35-10___50_10_7_60000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	proportion_of_lex
test_2017-12-19T00-38-24___50_10_7_70000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	proportion_of_lex
test_2017-12-19T01-12-44___50_10_7_40000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	proportion_of_lex
test_2017-12-19T01-18-36___50_10_7_70000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	proportion_of_lex
test_2017-12-19T01-36-38___50_10_7_100000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	proportion_of_lex
test_2017-12-19T02-19-18___50_10_7_100000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	proportion_of_lex
test_2017-12-19T02-39-45___50_10_7_50000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	proportion_of_lex
test_2017-12-19T02-44-23___50_10_7_30000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	proportion_of_lex
test_2017-12-19T03-20-13___50_10_7_40000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	proportion_of_lex
