typeFreq	Stem1	Stem2	Stem3	Stem4	Stem5	Stem6	Stem7	Stem8	Stem9	Stem10	Stem10a	Stem11	Stem12	Stem13	Stem14	Stem15	Stem16	Stem17	Stem18	Stem19
4	-wa	-wa	-was	-was	-was	-was	-wasj	-y	-y	-wat	-watʁi	-was	-wasj	-wa	-was	-was	-watʁ	-was	-y	-y
2	-wa	-wa	-waj	-waj	-wa	-waj	-waj	-y	-y	-wa	-waʁ	-wa	-waj	-wa	-waj	-waj	-waʁ	-waj	-y	-y
2	-wa	-wa	-yv	-yv	-wav	-yv	-yvj	-y	-y	-wa	-waʁ	-wav	-yvj	-wa	-yv	-yv	-waʁ	-yv	-y	-y
2	-	-	-	-	-	-	-j	-	-	-	-ʁ	-	-j	-	-	-	-ʁ	-	-	-
3	-	-	-	-	-	-	-j	-	-	-	-ʁ	-	-j	-	-	-	-ʁ	-	-	-z
3	-	-	-z	-z	-z	-z	-zj	-zi	-zi	-d	-dʁi	-z	-zj	-	-z	-z	-dʁ	-z	-zy	-zy
3	-	-	-l	-l	-l	-l	-lj	-ly	-ly	-d	-dʁi	-l	-lj	-	-l	-l	-dʁ	-l	-ly	-ly
3	-	-	-v	-v	-v	-v	-vj	-vi	-vi	-v	-vʁi	-v	-vj	-	-v	-v	-vʁ	-v	-vi	-vi
3	-i	-i	-iv	-iv	-iv	-iv	-ivj	-ɛky	-ɛky	-iv	-ivʁi	-iv	-ivj	-i	-iv	-iv	-ivʁ	-iv	-ɛky	-ɛky
4	-i	-i	-iz	-iz	-iz	-iz	-izj	-y	-y	-i	-iʁ	-iz	-izj	-i	-iz	-iz	-iʁ	-iz	-y	-y
7	-	-	-z	!dit	-z	-z	-zj	-	-	-	-ʁ	-z	-zj	-	-z	!dit	-ʁ	-z	-	-t
2	-i	-i	-ij	-ij	-i	-ij	-ij	-i	-i	-i	-iʁ	-i	-ij	-i	-ij	-ij	-iʁ	-j	-i	-i
11	-	-	-v	-v	-v	-v	-vj	-vi	-vi	-	-ʁ	-v	-vj	-	-v	-v	-ʁ	-v	-	-t
5	-	-	-z	-z	-z	-z	-zj	-	-	-	-ʁ	-z	-zj	-	-z	-z	-ʁ	-z	-	-t
24	-	-	-z	-z	-z	-z	-zj	-zi	-zi	-	-ʁ	-z	-zj	-	-z	-z	-ʁ	-z	-	-t
